Year,Malaria Incidence,Avg Temperature,Rainfall
2000,21.8,16.7,4.7
2001,21.63,20.8,3.8
2002,19.51,32,4.6
2003,20.28,7.7,3
2004,21.75,19.4,4.4
2005,22.41,32.5,1.3
2006,16.5,16.4,3.7
2007,14.9,31.2,1.4
2008,14.54,16.3,4.8
2009,13.84,23.4,4.6
2010,13.09,-,-
2011,10.54,10.3,4.8
2012,8.1,17.7,4.9
2013,6.26,28.8,1.5
2014,6.33,27.5,3
2015,6.44,16.8,2.4
2016,6.29,11.8,1.3
2017,4.61,21.8,1.6
2018,3.43,27.4,4.8
2019,2.84,23.6,1.2
2020,2.53,9.6,1.2
2021,2.5,14,2.1
2022,1.4,23.6,2.4
2023,1.34,31,2
2024,1.48,-,-
